id;question;question_desc;question_type;active;last_modified;last_modified_by
1;Brand;Kiribati Cambridgeshire incremental;SINGLE;true;2022-02-13T02:34:41;Glen
2;system-worthy;Ridge;MULTISELECT;false;2022-02-12T14:49:58;Profit-focused
3;Dollar monetize Future;Yuan sensor;FREETEXT;false;2022-02-12T11:11:12;drive
4;Response open-source;utilize;FREETEXT;true;2022-02-13T00:20:20;calculate Buckinghamshire empowering
5;Account CSS generate;best-of-breed;SINGLE;false;2022-02-12T19:16:53;Cheese Synergized Toys
6;Dollar Unbranded;USB (customarily;SINGLE;true;2022-02-13T10:16:29;1080p
7;withdrawal connect;Serbian;FREETEXT;false;2022-02-13T05:36:58;supply-chains
8;De-engineered green Down-sized;experiences zero reintermediate;SINGLE;false;2022-02-13T04:44:41;system
9;Zambian loyalty Frozen;Sudan XML Bike;MULTISELECT;false;2022-02-12T13:09:13;Franc
10;Buckinghamshire protocol Crossing;indexing;MULTISELECT;true;2022-02-13T04:07:58;Direct USB
