id;ans_option;health_condition;active;last_modified;last_modified_by
1;Implementation;STABLE;true;2022-02-13T10:04:31;Sleek
2;strategic Games Computer;DEATH;true;2022-02-13T06:11:47;next
3;Account IB deliver;STABLE;true;2022-02-12T13:12:37;Reduced
4;haptic Palau Clothing;CRITICAL;true;2022-02-13T01:52:38;Andorra microchip
5;throughput Incredible SDD;RECOVERED;false;2022-02-12T12:54:07;Fall port Accounts
6;Cordoba granular internet;STABLE;false;2022-02-12T17:11:03;front-end yellow Polynesia
7;Fresh Car brand;RECOVERED;true;2022-02-13T06:53:11;CSS
8;Nevada;CRITICAL;true;2022-02-13T01:25:25;North
9;parse;CRITICAL;true;2022-02-13T09:03:25;Bhutanese Personal payment
10;Checking wireless;CRITICAL;false;2022-02-12T17:24:32;Concrete
